patchnumber,yt-startsecond,yt-starttime
A11,399.68,0:06:39.68
A12,418.12,0:06:58.12
A13,431.00,0:07:11
A14,442.88,0:07:22.88
A15,457.00,0:07:37
A16,466.00,0:07:46
A17,474.12,0:07:54.12
A18,483.60,0:08:03.60
A21,499.48,0:08:19.48
A22,508.28,0:08:28.28
A23,517.60,0:08:37.60
A24,526.96,0:08:46.96
A25,534.56,0:08:54.56
A26,547.68,0:09:07.68
A27,553.76,0:09:13.76
A28,562.76,0:09:22.76
A31,573.44,0:09:33.44
A32,583.24,0:09:43.24
A33,593.20,0:09:53.20
A34,602.56,0:10:02.56
A35,614.92,0:10:14.92
A36,626.32,0:10:26.32
A37,634.24,0:10:34.24
A38,649.76,0:10:49.76
A41,658.72,0:10:58.72
A42,668.44,0:11:08.44
A43,683.04,0:11:23.04
A44,694.60,0:11:34.60
A45,709.04,0:11:49.04
A46,720.96,0:12:00.96
A47,731.52,0:12:11.52
A48,738.88,0:12:18.88
A51,751.84,0:12:31.84
A52,761.08,0:12:41.08
A53,774.28,0:12:54.28
A54,789.76,0:13:09.76
A55,806.28,0:13:26.28
A56,818.76,0:13:38.76
A57,831.60,0:13:51.60
A58,843.48,0:14:03.48
A61,854.72,0:14:14.72
A62,870.72,0:14:30.72
A63,883.48,0:14:43.48
A64,897.60,0:14:57.60
A65,908.96,0:15:08.96
A66,919.88,0:15:19.88
A67,936.92,0:15:36.92
A68,953.88,0:15:53.88
A71,967.20,0:16:07.20
A72,986.96,0:16:26.96
A73,994.32,0:16:34.32
A74,1003.40,0:16:43.40
A75,1019.32,0:16:59.32
A76,1038.00,0:17:18
A77,1053.72,0:17:33.72
A78,1070.00,0:17:50
A81,1094.28,0:18:14.28
A82,1105.40,0:18:25.40
A83,1111.64,0:18:31.64
A84,1119.76,0:18:39.76
A85,1132.88,0:18:52.88
A86,1143.04,0:19:03.04
A87,1152.84,0:19:12.84
A88,1162.28,0:19:22.28
B11,1173.92,0:19:33.92
B12,1188.00,0:19:48
B13,1194.88,0:19:54.88
B14,1208.56,0:20:08.56
B15,1218.00,0:20:18
B16,1230.16,0:20:30.16
B17,1241.68,0:20:41.68
B18,1258.36,0:20:58.36
B21,1268.64,0:21:08.64
B22,1277.36,0:21:17.36
B23,1288.04,0:21:28.04
B24,1296.16,0:21:36.16
B25,1303.92,0:21:43.92
B26,1317.16,0:21:57.16
B27,1327.08,0:22:07.08
B28,1335.72,0:22:15.72
B31,1341.16,0:22:21.16
B32,1352.00,0:22:32
B33,1363.12,0:22:43.12
B34,1376.28,0:22:56.28
B35,1386.28,0:23:06.28
B36,1397.00,0:23:17
B37,1406.88,0:23:26.88
B38,1416.24,0:23:36.24
B41,1431.24,0:23:51.24
B42,1444.00,0:24:04
B43,1452.20,0:24:12.20
B44,1466.08,0:24:26.08
B45,1479.52,0:24:39.52
B46,1488.64,0:24:48.64
B47,1497.64,0:24:57.64
B48,1506.96,0:25:06.96
B51,1516.08,0:25:16.08
B52,1526.48,0:25:26.48
B53,1534.36,0:25:34.36
B54,1547.52,0:25:47.52
B55,1563.16,0:26:03.16
B56,1580.16,0:26:20.16
B57,1597.40,0:26:37.40
B58,1605.60,0:26:45.60
B61,1624.40,0:27:04.40
B62,1635.44,0:27:15.44
B63,1649.24,0:27:29.24
B64,1659.20,0:27:39.20
B65,1670.12,0:27:50.12
B66,1683.44,0:28:03.44
B67,1698.12,0:28:18.12
B68,1711.36,0:28:31.36
B71,1727.88,0:28:47.88
B72,1734.48,0:28:54.48
B73,1741.16,0:29:01.16
B74,1749.24,0:29:09.24
B75,1760.72,0:29:20.72
B76,1769.36,0:29:29.36
B77,1777.68,0:29:37.68
B78,1793.48,0:29:53.48
B81,1817.76,0:30:17.76
B82,1835.00,0:30:35
B83,1862.72,0:31:02.72
B84,1878.96,0:31:18.96
B85,1893.80,0:31:33.80
B86,1904.20,0:31:44.20
B87,1918.72,0:31:58.72
B88,1942.00,0:32:22
END,1949.52,0:32:29.52